"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"15/09/2025","","","","","",""
"लासलगाव - विंचूर","---","क्विंटल","207","3000","4370","4300"
"छत्रपती संभाजीनगर","---","क्विंटल","36","4150","4150","4150"
"कारंजा","---","क्विंटल","900","4010","4385","4260"
"तुळजापूर","---","क्विंटल","160","4200","4200","4200"
"मानोरा","---","क्विंटल","136","3900","4410","4196"
"मोर्शी","---","क्विंटल","100","4000","4100","4050"
"राहता","---","क्विंटल","1","4125","4125","4125"
"सोलापूर","लोकल","क्विंटल","52","4150","4300","4245"
"अमरावती","लोकल","क्विंटल","522","4000","4255","4127"
"हिंगोली","लोकल","क्विंटल","250","3900","4350","4125"
"कोपरगाव","लोकल","क्विंटल","51","4080","4331","4299"
"मेहकर","लोकल","क्विंटल","100","3800","4340","4200"
"कंधार","नं. १","क्विंटल","4","4200","4500","4400"
"लासलगाव - निफाड","पांढरा","क्विंटल","8","3500","4300","4270"
"जालना","पिवळा","क्विंटल","411","2711","4300","4100"
"अकोला","पिवळा","क्विंटल","278","3895","4285","4185"
"यवतमाळ","पिवळा","क्विंटल","110","4070","4320","4210"
"चोपडा","पिवळा","क्विंटल","6","3511","4331","3611"
"चिखली","पिवळा","क्विंटल","30","3850","4200","4000"
"हिंगणघाट","पिवळा","क्विंटल","468","3200","4495","3800"
"बीड","पिवळा","क्विंटल","8","3700","3800","3750"
"वाशीम","पिवळा","क्विंटल","1800","3940","4380","4000"
"वाशीम - अनसींग","पिवळा","क्विंटल","150","4050","4265","4150"
"वर्धा","पिवळा","क्विंटल","26","3900","4250","4100"
"हिंगोली- खानेगाव नाका","पिवळा","क्विंटल","78","3950","4250","4100"
"मुर्तीजापूर","पिवळा","क्विंटल","200","4050","4385","4220"
"मलकापूर","पिवळा","क्विंटल","50","3795","4355","4000"
"वणी","पिवळा","क्विंटल","27","4395","4395","4395"
"लोणार","पिवळा","क्विंटल","46","4050","4250","4150"
"किल्ले धारुर","पिवळा","क्विंटल","1","3200","3351","3351"
"अहमहपूर","पिवळा","क्विंटल","188","3000","4450","4139"
"उमरगा","पिवळा","क्विंटल","2","3400","4060","4000"
"पुर्णा","पिवळा","क्विंटल","100","4200","4271","4251"
"मंगरुळपीर","पिवळा","क्विंटल","815","3800","4450","4250"
"नांदूरा","पिवळा","क्विंटल","75","3650","4200","4200"
"सिंदखेड राजा","पिवळा","क्विंटल","19","4000","4300","4200"
"बाभुळगाव","पिवळा","क्विंटल","150","4001","4445","4251"
"काटोल","पिवळा","क्विंटल","31","3600","4100","3800"
"सिंदी(सेलू)","पिवळा","क्विंटल","40","3950","4200","4150"
"14/09/2025","","","","","",""
"सिल्लोड","---","क्विंटल","4","4300","4300","4300"
"राहूरी","लोकल","क्विंटल","20","3550","4000","3775"
"शेवगाव","पिवळा","क्विंटल","14","3800","4000","4000"
"बाळापूर","पिवळा","क्विंटल","67","3800","4150","3900"
"बुलढाणा","पिवळा","क्विंटल","30","3800","4200","4000"
"काटोल","पिवळा","क्विंटल","6","3200","4000","3800"
"देवणी","पिवळा","क्विंटल","20","4200","4299","4250"
"13/09/2025","","","","","",""
"अहिल्यानगर","---","क्विंटल","8","4000","4250","4125"
